fecha,MIN(dp.precio),AVG(dp.precio),MAX(dp.precio),AVG(wd.vel_km_h),MAX(wd.racha_max_km_h)
2019-02-10,15.6,37.695416847864784,66.55,11.44800000190735,74.16
2019-02-11,41.72,56.24958324432373,66.25,11.231999969482422,59.04
2019-02-12,50,60.56208308537801,67.1,10.799999952316284,45
2019-02-13,57.01,61.50999959309896,65.51,7.2,33.12
2019-02-14,48,56.38041671117147,63.67,8.92800006866455,46.08
2019-02-15,45.57,55.286666552225746,62,6.192000007629394,41.04
2019-02-16,43.39,51.18999989827474,60.01,9.539999961853027,36
2019-02-17,36.13,47.040833473205566,62,5.670000076293945,37.08
2019-02-18,45.37,56.268750031789146,62,9,41.04
2019-02-19,52.6,58.88958326975504,62.25,6,28.08
2019-02-20,53.1,57.50791645050049,61.11,5.640000025431315,24.84
2019-02-21,47.67,54.763333320617676,61.21,6,30.96
2019-02-22,45.52,53.2762500445048,59.93,7.200000047683716,45
2019-02-23,46.87,51.773333390553795,57.24,6.839999973773956,38.88
2019-02-24,45,51.08291673660278,60.15,6.480000019073486,27
2019-02-25,46.36,55.31916650136312,60.6,5.039999961853027,29.16
2019-02-26,46.36,53.12791649500529,59,7.079999923706055,28.08
2019-02-27,45.35,46.96500015258789,48.58,5.28000005086263,33.12
2019-02-28,43.1,52.90434795877208,58.75,7.829999923706055,29.16
2019-03-01,50.77,54.442916552225746,58.43,5.400000047683716,28.08
2019-03-02,38.9,48.74625031153361,57.51,16.199999618530274,66.96
2019-03-03,21,39.78208311398824,56.5,14.279999732971191,84.96
2019-03-04,3.52,41.10749989748001,58.75,7.920000076293945,45
2019-03-05,41.54,52.60999997456869,56.45,11.592000007629395,48.96
2019-03-06,25.68,37.822499910990395,51.73,8.784000015258789,47.16
2019-03-07,34.27,50.47416639328003,60.95,11.592000007629395,78.84
2019-03-08,52.29,55.7041662534078,58.56,9.360000038146973,37.08
2019-03-09,51.14,54.38541634877523,56.56,8.784000015258789,36
2019-03-10,39.71,47.231666564941406,55.25,9.215999984741211,39.96
2019-03-11,39.71,51.887499968210854,61.41,19.367999839782716,120.96
2019-03-12,42.62,52.03958320617676,56.26,7.020000010728836,41.04
2019-03-13,36.08,45.85999997456869,55.66,18.269999980926514,69.12
2019-03-14,45.15,51.58916680018107,56.05,13.499999761581421,51.84
2019-03-15,51.64,54.78666607538859,57.98,9.180000066757202,33.84
2019-03-16,40.07,51.290000120798744,57.05,9.71999994913737,43.92
2019-03-17,5.48,34.74708332618078,52.63,13.949999809265137,51.12
2019-03-18,38.69,48.76874923706055,56.19,10.920000076293945,42.12
2019-03-19,41.29,49.88458299636841,56.57,14.22000002861023,52.92
2019-03-20,39.37,48.6391658782959,55.55,9.450000047683716,42.84
2019-03-21,44.01,52.428749561309814,56.55,9.269999980926514,34.92
2019-03-22,54.8,55.72791624069214,57.5,8.784000015258789,37.08
2019-03-23,46.78,51.22083298365275,55.26,8.279999923706054,42.12
2019-03-24,39,44.302083333333336,52.1,8.639999961853027,39.96
2019-03-25,30,42.53166675567627,51.96,10.439999961853028,46.08
2019-03-26,30.21,41.087082862854004,51.64,11.736000061035156,51.84
2019-03-27,36.62,47.18041674296061,53.86,10.728000068664551,47.16
2019-03-28,43.44,50.82666619618734,55.01,10.368000030517578,41.04
2019-03-29,50.53,52.99833329518636,54.92,10.368000030517578,56.88
2019-03-30,52.63,53.329999923706055,54.03,8.568000030517577,43.92
2019-03-31,45.94,51.325908834284,56.45,7.48799991607666,64.08
2019-04-01,55.48,58.43374983469645,60.95,7.487999963760376,38.16
2019-04-02,53.41,57.98208284378052,60.01,8.207999992370606,54
2019-04-03,41.73,52.92624966303507,60,10.890000104904175,74.16
2019-04-04,44.45,53.38583326339722,60.44,8.730000019073486,48.96
2019-04-05,40.76,51.35166629155477,58.67,11.160000038146972,48.96
2019-04-06,37.27,44.30041662851969,55.44,8.639999961853027,48.96
2019-04-07,38.3,47.222499211629234,58.6,12.239999961853027,51.12
2019-04-08,42.51,53.25833288828532,60,9.792000007629394,47.16
2019-04-09,41.95,50.308332761128746,57.55,12.6,51.12
2019-04-10,41.33,50.82958364486694,59.15,6.552000045776367,36
2019-04-11,47.81,54.65291674931844,59.24,14.399999809265136,69.12
2019-04-12,53,56.96916691462199,60.16,9.792000007629394,47.16
2019-04-13,52.07,57.54166634877523,60,6.336000061035156,38.16
2019-04-14,45.1,52.6166664759318,62.48,8.352000045776368,55.08
2019-04-15,42.05,53.80000019073486,60.67,9.863999938964843,75.96
2019-04-16,50.49,57.174583752950035,60.06,9.360000038146973,59.04
2019-04-17,35.36,47.05000019073486,59.47,10.079999971389771,79.92
2019-04-18,48.95,55.0920836130778,59.47,7.920000076293945,56.88
2019-04-19,25.45,37.31374979019165,53,11.807999992370606,60.84
2019-04-20,20,31.749166409174602,48,13.5,57.96
2019-04-21,28.62,39.68791643778483,58.58,8.424000000953674,47.88
2019-04-22,51.23,55.762083530426025,59,9.360000038146973,42.12
2019-04-23,34,49.22249984741211,58.78,9.504000091552735,56.88
2019-04-24,27.69,40.007916847864784,54.75,11.592000007629395,65.16
2019-04-25,5,29.68583341439565,46.36,13.031999969482422,79.92
2019-04-26,25.77,48.92458287874857,60.85,10.728000068664551,54
2019-04-27,52.34,55.66583299636841,59.2,8.855999946594238,42.12
2019-04-28,47.23,52.60249996185303,59.47,8.495999908447265,36
2019-04-29,52.49,57.90916665395101,60.37,8.92800006866455,43.92
2019-04-30,58.71,58.9466667175293,59.23,9.647999954223632,37.08
2019-05-01,36,49.66727256774902,55.71,8.495999908447265,33.12
2019-05-02,32,45.646249771118164,58.09,5.490000009536743,30.96
2019-05-03,41.34,50.097500006357826,57.9,11.039999961853027,73.08
2019-05-04,29,44.47333288192749,54.14,10.007999992370605,50.04
2019-05-05,20,33.86999988555908,59.04,7.128000068664551,42.12
2019-05-06,43.47,53.05041694641113,58.69,12.960000038146973,60.84
2019-05-07,45,51.922083059946694,60,8.423999977111816,42.84
2019-05-08,33,38.767499923706055,46.2,9.647999954223632,43.92
2019-05-09,30.26,45.79666646321615,55.01,12.023999977111817,68.04
2019-05-10,37.17,47.26541678110758,56.17,6.9840000629425045,38.88
2019-05-11,40.84,49.91624975204468,54.89,17.639999794960023,109.08
2019-05-12,24.04,36.42041619618734,56.41,6.984000015258789,37.08
2019-05-13,34.3,47.12708298365275,56.19,11.231999969482422,39.96
2019-05-14,40.9,51.417916774749756,58.56,9.936000061035156,38.88
2019-05-15,50.21,53.697916666666664,57.5,8.352000045776368,38.16
2019-05-16,40.8,52.47249984741211,57.79,10.43999981880188,79.92
2019-05-17,33.79,43.79791657129923,55.53,15.768000078201293,96.84
2019-05-18,35.01,46.30500062306722,56.2,10.943999862670898,56.88
2019-05-19,36.75,48.06791671117147,57.45,11.01599998474121,43.92
2019-05-20,42.72,52.74291674296061,57.92,7.992000007629395,37.08
2019-05-21,54.49,56.86708354949951,58.77,8.27999997138977,50.04
2019-05-22,55.56,57.98499997456869,59.47,9,36
2019-05-23,51.83,57.06916666030884,59.66,7.992000007629395,41.04
2019-05-24,42.6,49.04333305358887,55.78,12.023999977111817,52.92
2019-05-25,38.8,42.329166412353516,50.51,12.6,42.12
2019-05-26,34,40.46208333969116,58.02,11.879999923706055,45
2019-05-27,41.77,50.67374960581461,58.39,11.376000022888183,42.12
2019-05-28,40.99,47.16249942779541,54.51,13.463999938964843,48.96
2019-05-29,40.81,47.57791646321615,57.02,13.823999977111816,42.84
